,unit_mention,frequency
0,h,854
1,%,281
2,min,267
3,ng/ml,220
4,μg/ml,142
5,l/kg,111
6,ng·h/ml,102
7,l,81
8,l/h,78
9,ml/min/kg,68
10,ml/min,57
11,μM,55
12,d,51
13,mg/l,50
14,μg·h/ml,45
15,l/h/kg,37
16,µg/ml,29
17,μg/l,24
18,h·ng/ml,19
19,nM,19
20,ml/h/kg,17
21,μg·h/l,16
22,ml·min-1·kg-1,15
23,l/kg/h,15
24,mg·h/l,15
25,ml,15
26,ml·h-1·kg-1,14
27,ml/kg,13
28,μM·h,13
29,ml/kg/min,12
30,h·ng-eq/g,12
31,ml/h,12
32,ng·h·ml−1,12
33,mg/l·min,12
34,l·h-1·kg-1,12
35,ng·ml-1,11
36,µg·h/ml,11
37,h(-1),11
38,ng·h·ml-1,11
39,l·kg-1,10
40,ng/g,10
41,/h,9
42,ng/ml·h,9
43,μg·min/ml,9
44,h−1,9
45,μmol/l,8
46,h-1,8
47,ml/s,8
48,ng·ml-1·h,8
49,ng·h/ml/mg,8
50,nM/l·60·min,8
51,μg/dl,8
52,mM/l,7
53,ml/kg·min,6
54,l/min,6
55,ng-eq/g,6
56,l·h(-1),6
57,ng/h/ml,6
58,iu·dl(-1)/iu·kg(-1),6
59,min-1,6
60,ml·min-1,6
61,µl/min,6
62,ng·h·ml(-1),6
63,mg,5
64,µg/l,5
65,ng·ml−1,5
66,mg·l-1,5
67,l/h/70·kg,5
68,nM·h,4
69,μg/g,4
70,μM·l-1,4
71,μg·l-1·h,4
72,mg·l-1·h-1,4
73,nM/min/nM,4
74,mg·h·l-1,4
75,mg·h·l–1,4
76,mg·min·l-1,4
77,mM/l·min,4
78,μg·ml−1,4
79,h·kg·g·l-1·mg-1,4
80,mug/ml,4
81,mM/l·h,4
82,d-1,4
83,µg·l/h,4
84,mM/(l·h),4
85,ml·kg-1·min·-1,4
86,mg·h/ml,4
87,nM·d/l/mg,4
88,pM/ml,4
89,μg·h−1·ml−1,4
90,mg/ml,4
91,miu/l,4
92,μg·ml(-1)·h,4
93,miu·h/ml,4
94,µmol·h/l,4
95,ng/ml·mg,4
96,mg·l(-1)·h,4
97,l/d,4
98,μg·h/dl,4
99,µg·ml−1,4
100,μmol·l−1,4
101,h·mg/l,3
102,mg·min/ml,3
103,μg·ml-1,3
104,ngh/ml,3
105,l/[h·kg],3
106,µl/min/mg,3
107,cm/s,3
108,µM,3
109,μg/ml·h,3
110,h·μg/ml,3
111,ng·bdp/l,3
112,mg/l·h,3
113,l·h−1,3
114,μg/cm2/h,3
115,ml/min/m2,3
116,mg·m2·h/l·mg,3
117,nM·min·l(-1),3
118,ng·ml−1·h,3
119,l·kg(-1),3
120,μg·h-1·ml-1,3
121,l/h·kg,3
122,ms,3
123,months,3
124,μl/min/mg·protein,2
125,μg·l−1,2
126,μM/l·h,2
127,s,2
128,h·μg·ml-1,2
129,mm3,2
130,mg·ml−1·min,2
131,mg/min,2
132,mg/dl,2
133,l/kg/min,2
134,ng·ml(-1)·h,2
135,ug·h/ml,2
136,ml/(h·kg),2
137,l·/m2/h,2
138,μg/kg,2
139,μM·min,2
140,h·μg·ml−1,2
141,log10·cfu/ml,2
142,l/70·kg,2
143,μm,2
144,lh(-1),2
145,l∙hr-1,2
146,l/1.73·m2,2
147,l·h(-1)·70·kg(-1),2
148,ng∙h/ml,2
149,pg/ml·h,2
150,g/ml,2
151,mg/h/l,2
152,s-1,2
153,g·d/l,2
154,μg/·ml,2
155,ng·h·ml,2
156,cm·min,2
157,nM·l−1·h,2
158,l·kg−1,2
159,μM·l(-1),2
160,l/h/m(2),2
161,ng·ml(-1),2
162,ng·g(-1),2
163,nm,2
164,l·h-1·kg(-1),2
165,l/h/m2,2
166,μg·h·ml(-l),2
167,mmhg,2
168,ng·min/ml,2
169,%·receptor·occupancy·h,2
170,/year,2
171,μg/h,2
172,mg·h,2
173,nM/1,2
174,pM/1,2
175,nM−1h−1,2
176,min(1),2
177,%·w/w,2
178,ng·ml(-1)·h(-1),2
179,·10−7·cm/s,2
180,·10−6·cm/s,2
181,min(-1),1
182,meq/l,1
183,μM·h/l,1
184,1,1
185,mg·min·ml−1,1
186,l/[h·kg,1
187,(ml·h−1)·kg−1,1
188,μg∙h/ml,1
189,µM·min,1
190,l·h(-1)·m(-2),1
191,μg·h·ml(-1),1
192,ng·eq·/ml,1
193,h·µg/ml,1
194,nM/l,1
195,nmol∙h/l,1
196,pg·h/ml,1
197,μg/min/g,1
198,hous,1
199,l/kg·h,1
200,μM/l,1
201,μg·l-1·h-1,1
202,ml/min/1.73·m2,1
203,hour−1,1
204,l·h(-1)),1
205,mg/1,1
206,h·ng·eq·/ml,1
207,mg/min/kg,1
208,fmol/106·cells,1
209,·h/ml,1
210,mg/kg,1
211,g/min,1
212,transduction·events·ml/cell·virion·min,1
213,ml·kg-1·h-1,1
214,ml·kg-1,1
215,bpm,1
216,h·μmol/l,1
217,min·mg·l-1,1
218,μg/l/h,1
219,µM·h,1
220,mm,1
221,nM/min/mg·protein,1
222,cm/s·(·10−6),1
223,μg·h2/ml,1
224,μg,1
225,muM,1
226,mg·h·l(-1),1
227,l·(kg·h)(-1),1
228,ml·min(-1)·kg(-1),1
229,μg/h/ml,1
